Applicant_ID,Age,Employment_Type,Monthly_Net_Income,Total_Existing_EMIs,CIBIL_Score,Is_First_Loan,Requested_Loan_Amount,Requested_Tenure_Months,Average_Monthly_Bank_Balance,Number_of_Bounced_Transactions_Last_6M,Default
KAGGLE000000,22,Salaried,4916.666666666667,2395.5,,0,35000,,,,1
KAGGLE000001,21,Salaried,1200.0,93.33333333333334,,0,1000,,,,0
KAGGLE000002,25,Salaried,1200.0,455.99999999999994,,0,5500,,,,1
KAGGLE000003,23,Salaried,5458.333333333333,2395.5,,0,35000,,,,1
KAGGLE000004,24,Salaried,4533.333333333333,2395.5,,0,35000,,,,1
KAGGLE000005,21,Salaried,1200.0,206.25,,0,2500,,,,1
KAGGLE000006,26,Salaried,6425.0,2395.5,,0,35000,,,,1
KAGGLE000007,24,Salaried,6579.666666666667,2395.5,,0,35000,,,,1
KAGGLE000008,24,Salaried,6916.666666666667,2395.5,,0,35000,,,,1
KAGGLE000009,21,Salaried,1200.0,133.33333333333334,,0,1600,,,,1
KAGGLE000010,22,Salaried,7083.333333333333,2395.5,,0,35000,,,,1
KAGGLE000011,21,Salaried,1200.0,375.0,,0,4500,,,,1
KAGGLE000012,23,Salaried,7916.666666666667,2395.5,,0,35000,,,,1
KAGGLE000013,26,Salaried,9013.333333333334,2395.5,,0,35000,,,,1
KAGGLE000014,23,Salaried,9583.333333333334,2395.5,,0,35000,,,,0
KAGGLE000015,23,Salaried,18750.0,2395.5,,0,30000,,,,0
KAGGLE000016,23,Salaried,10000.0,2395.5,,0,35000,,,,0
KAGGLE000017,23,Salaried,7675.916666666667,2395.5,,0,35000,,,,1
KAGGLE000018,23,Salaried,9416.666666666666,2395.5,,0,35000,,,,1
KAGGLE000019,24,Salaried,1200.0,144.0,,0,1750,,,,1
KAGGLE000020,25,Salaried,13541.666666666666,2395.5,,0,35000,,,,0
KAGGLE000021,25,Salaried,11416.666666666666,2395.5,,0,34800,,,,0
KAGGLE000022,22,Salaried,5416.666666666667,2395.5,,0,34000,,,,1
KAGGLE000023,24,Salaried,1200.0,128.10000000000002,,0,1500,,,,0
KAGGLE000024,22,Salaried,6666.666666666667,2395.5,,0,33950,,,,1
KAGGLE000025,24,Salaried,5645.5,2395.5,,0,33000,,,,1
KAGGLE000026,21,Salaried,1200.0,384.99999999999994,,0,4575,,,,1
KAGGLE000027,23,Salaried,1200.0,119.16666666666667,,0,1400,,,,0
KAGGLE000028,24,Salaried,5416.666666666667,2395.5,,0,32500,,,,1
KAGGLE000029,21,Salaried,1200.0,332.1791666666667,,0,4000,,,,1
KAGGLE000030,21,Salaried,1200.0,163.20000000000002,,0,2000,,,,1
KAGGLE000031,25,Salaried,10000.0,2395.5,,0,32000,,,,0
KAGGLE000032,26,Salaried,7916.666666666667,2395.5,,0,31050,,,,1
KAGGLE000033,25,Salaried,18750.0,2040.0,,0,24250,,,,0
KAGGLE000034,26,Salaried,18750.0,750.0,,0,7800,,,,0
KAGGLE000035,21,Salaried,1200.0,210.0,,0,2500,,,,1
KAGGLE000036,22,Salaried,4000.0,2395.5,,0,30000,,,,1
KAGGLE000037,24,Salaried,5333.333333333333,2395.5,,0,30000,,,,1
KAGGLE000038,25,Salaried,6250.0,2395.5,,0,30000,,,,1
KAGGLE000039,23,Salaried,5958.333333333333,2395.5,,0,30000,,,,1
KAGGLE000040,26,Salaried,5170.833333333333,2120.0416666666665,,0,30000,,,,1
